chunom,translation
按㘘偕行,án bí giai hành
裊㐌𢯰頭埃几阿󰬲,"nếu đã lọt đầu, ai kẻ hở đuôi"
仕弹散𤚇巴為,sẩy đàn tan nghé bơ vơ
楚卿㐌𢶾𦀊綱𫮇󰅹,sở khanh đã rẽ dây cương lối nào
太原降将迪義營廉郡公擒󰱐莫偽宏羙公,"thái nguyên hàng tướng địch nghĩa dinh liêm quận công khuyết danh, cầm hoạch mạc nguỵ hoành mĩ công"
乙丑隋煬帝廣大業元年,"ất sửu, tuỳ dạng đế quảng, đại nghiệp nguyên niên"
朋黎景琦咍謀丕麻拯咍断,bằng lê cảnh kỳ hay mưu vậy mà chẳng hay đoán
蹽𨖲磧𡶀𠀧𡸏𥙩𦊚寰𥒥𧗱稽蹎樑,trèo lên vách núi ba vì. lấy bốn hòn đá về kê chân giường
賴有蘇憲誠素有權位受託孤之寄盡心調護大噐不動天下㱕心必有嘉猷嘉謀入吿我后矣,"lại hữu tô hiến thành tố hữu quyền vị, thụ thác cô chi, ký tận tâm điều hộ, đại khí bất động, thiên hạ quy tâm, tất hữu gia du gia mưu nhập cáo ngã hậu hĩ"
嫡子先死即以長孫或無長孫方用庶子,"đích tử tiên tử tức dĩ trưởng tôn, hoặc vô trưởng tôn phương dụng thứ tử"
妬埃禁𩙌停容𣘃,đó ai cấm gió đừng dung cây
玉花練練䜹浪道吒󰆙媄𫀅平󰝶髙,ngọc hoa rén rén thưa rằng đạo cha đức mẹ xem bằng non cao
𦑃圍森合府楼迎昂,"cánh vây sum họp, phủ lầu nghênh ngang"
芻𫳭詔皿号曰𣈙毛螺,sò lông chéo miệng hiệu viết rày mao loa
併𦋦渃蜀没𠁀,tính ra nước thục một đời
仃拱垣為翰林學士奉旨,đinh củng viên vi hàn lâm học sĩ phụng chỉ
𨃴名利湓坡色󱯺𩈘風塵𪹷󱨿味橷,gót danh lợi bùn pha sắc xám. mặt phong trần nắng rám màu dâu
整粧娘買尼公堂,chỉnh trang nàng mới nơi công đường
然其子誠孝何𠃔再與二紀,nhiên kì tử thành hiếu hà doãn tái dữ nhị kỷ
遂以其地為南海秦故郡今明廣東是也蒼梧唐曰益州古甌貉我越之地鬱林秦桂林郡漢武更名合浦秦象郡廉州之属郡交趾九真日南秦象郡珠崖儋耳並在大海中,"toại dĩ kì địa vi nam hải tần cố quận kim minh quảng đông thị dã, thương ngô đường viết ích châu cổ âu lạc ngã việt chi địa, uất lâm tần quế lâm quận hán vũ cánh danh, hợp phố tần tượng quận liêm châu chi thuộc quận, giao chỉ, cửu chân, nhật nam tần tượng quận, châu nhai đam nhĩ tịnh tại đại hải trung"
螉𫅷󱖮毒針花焒羝要挷𧤁頊𥴙疎,ong già buông nọc châm hoa rữa. dê yếu văng sừng húc giậu thưa
勑旨各衛門󰱇儒吏出亲除各職並詳所管從公察枸,sắc chỉ các vệ môn tuyển nho lại xuất thân trừ các chức tịnh tường sở quản tòng công sát cử
恒𥙩味禪悅爫咹,hằng lấy mùi thiền duyệt làm ăn
次日文曉有德再率属将進入駐營于石河大奈爲守禦之計,"thứ nhật, văn hiểu, hữu đức tái suất thuộc tướng tiến nhập trú dinh vu thạch hà, đại nại vi thủ ngự chi kế"
今李家歴代陵秪曰壽陵閣秪曰龍圖盖時君不學而儒臣不能潤色或無󰏲古之力也,"kim lí gia lịch đại, lăng chỉ viết thọ lăng các chỉ viết long đồ, cái thời quân bất học, nhi nho thần bất năng nhuận sắc, hoặc vô kê cổ chi lực dã"
𠊛腋𡱩几𢬣刀,"người nách thước, kẻ tay đao"
𣃣𠄩營於固𠄩󰜏,vừa hai dinh ở có hai bà
令安路納衝木竹箭,lệnh an lộ nạp xung mộc trúc tiễn
阮有僚范文快等整飭兵象船艘噐械日夜列屯江岸以防䦕内諸将突擊,"nguyễn hữu liêu, phạm văn khoái đẳng chỉnh sức binh tượng thuyền sưu, khí giới, nhật dạ liệt đồn giang ngạn dĩ phòng quan nội chư tướng đột kích"
黎伯玉討廣原州儂瓊莫七人等,"lê bá ngọc thảo quảng nguyên châu nùng quỳnh, mạc thất thân đẳng"
彩鵉𨅸畧𡑝庭欽容,thể loan đứng trước sân đình khâm dung
琵琵曲設秋𠦳𨤮宇宇蹎移隘󰋇重,tì tì khúc thét thu ngàn dặm. võ võ chân dời ải mấy trùng
𣦛意悶害𦷾,ý muốn hại đấy
刟𥙩,xẻo lấy
舘浪唭几不才𠁀𠸗,quán rằng cười kẻ bất tài đời xưa
姑芇醜𩴬朱䜹䋦行,cô nào xấu mẽ cho thưa mối hàng
𣎞熾牕𤐜熾篆竹熾萌,"trăng xế song, khói xế triện, trúc xế mành"
成祖哲王之聖德文功,thành tổ triết vương chi thánh đức văn công
沐湄澮仁核󱉎菫行桂蘭,"móc mưa nhuần gội ơn sang. nền nhân, cây đức, kín hàng quế lan"
穭稷箕𢷀料料穭稷箕蒸𢧚󱖮,lúa tắc kia rũ trĩu trĩu. lúa tắc kia chưng nên bông
宮商漏堛五音,cung thương làu bậc ngũ âm
王通方正之計󰠃完城固壘以待援,"vương thông, phương chính chi kế cùng, hoàn thành cố luỹ dĩ đãi viện"
勑,sắc
日輪󰑼𪾺𡗶蟾輪󰑼𪾺𦝄,nhật luân là mặt trời. thiềm luân là mặt trăng
大王𠸜海户徐,đại vương tên hải họ từ
𣈜恒固㝵樵夫隊檜𪽝𥪞洞麻囉,ngày hằng có người tiều phu đội củi bởi trong động mà ra
𫀅󱙻歳𧘇路程縸之,xem tên tuổi ấy lộ trình mắc chi
仍與帝約和,nhưng dữ đế ước hoà
二月帝既教宫女職成錦𦂶,"nhị nguyệt, đế ký giáo cung nữ chức thành cẩm khỉ"
爫朱絆旦具員𫅷,làm cho bận đến cụ viên già
吕嘉遂下令國中曰王年少太后本漢人也又與漢使者乱專欲内附盡持先王,"lữ gia toại hạ lệnh quốc trung viết vương niên thiếu, thái hậu bản hán nhân dã, hựu dữ hán sứ giả loạn, chuyên dục nội phụ, tận trì tiên vương"
𤽗仲逵㐌𡘮堆,ngươi trọng quỳ đã mất đôi
𧡊饒𠸥禮𫯐皮,thấy nhau kể lể bộn bề
𢪀朱歇,nghĩ cho hết
恬𫅜事,điềm lành sự dữ chưng động ghẽ vậy
官事少閑輙玩書傳,"quan sự thiểu nhàn, triếp ngoạn thư truyện"
𠊚𦣰帳𫃚蒲灰𠖾几𢲨蔞蘋渃渤𣊋,người nằm trướng vóc mồ hôi mát. kẻ hái rau tần nước bọt se
丐𤞺浪蹺𤤰麻𪠞詵󰞬㝵边武丕,"cái cáo rằng theo vua mà đi săn, nhiều người bên võ vậy"
户胡自𦀼業陳,họ hồ từ nối nghiệp trần
秋九月太子龍昶有罪廢爲庶人囚之,"thu cửu nguyệt, thái tử long xưởng hữu tội, phế vi thứ nhân tù chi"
干戈別󰋇辻吝打饒,can qua biết mấy mươi lần đánh nhau
正專拱𫽄山𣘈底停,chính chuyên cũng chẳng sơn son để dành
冬十一月十八日遣陪臣阮文質尹宏濬武維教歲貢于明并奏占城事,"đông thập nhất nguyệt thập bát nhật khiển bồi thần nguyễn văn chất, doãn hoành tuấn, vũ duy giáo tuế cống vu minh tịnh tấu chiêm thành sự"
細𨆢銀𪿒𦋦𠓨󰇥揚,"tới lui ngần ngại, ra vào dở dang"
下籃江自俸律以下煙火障天旌旗蔽日清華人民携老扶幼奔走遁途不知所依號泣盈天其財畜婦女尽陷于莫,"hạ, lam giang tự bổng luật dĩ hạ yên hoả chướng thiên, tinh kì tế nhật thanh hoa nhân dân huề lão phù ấu bôn tẩu độn đồ bất tri sở y, hiệu khấp doanh thiên kì tài súc phụ nữ tận hãm vu mạc"
𠫾爫本麻餒伴賢,đi làm vốn mà nuôi bạn hiền
纏性朗駡落邪道,"gìn tính lặng, mựa lạc tà đạo"
彬之征僚也遣指揮路文律爲前鋒,"bân chi chinh liêu dã, khiển chỉ huy lộ văn luật vi tiền phong"
蹸󱈘灵床曲寃計𠲥餒傷吟𢢯,"khúc oan kể lể, nỗi thương ngậm ngùi"
化󰑾爫卦遊𩲉,hóa ra làm quẻ du hồn
生𦖑󰋇㗂𡁹𠷥,sinh nghe mấy tiếng dỗ dành
㾔𤑭,lở lói
嘉興軍營粮𭁈嘉興鎮官貸食,gia hưng quân dinh lương dữ gia hưng trấn quan thải thực
縁𠊚吏固縁𡗶㵋𢧚,duyên người lại có duyên trời mới nên
𫽄𥪞𧜖𫋻拱外琴詩,"chẳng trong chăn gối, cũng ngoài cầm thơ"
莫使宗室将義國公節制南道兵期日進擊,"mạc sử tông thất tướng nghĩa quốc công tiết chế nam đạo binh, kì nhật tiến kích"
國峻寘之于懷而不以為然,"quốc tuấn trí chi vu hoài, nhi bất dĩ vi nhiên"
𬖆𢚸衝操鋪芸朋寠,"rông lòng xông xáo, phô nghề bằng cũ"
蚤悶捽𠇮𣦛𢀨,tao muốn tót mình thẳng sang
會取一般老病,hội thủ nhất ban lão bệnh
羣臣上尊號曰豁達睿聰剛毅中正温柔和樂欽明文思允恭克讓穆皇帝廟號玄宗〇,"quần thần thượng tôn hiệu viết khoát đạt duệ thông cương nghị trung chính ôn nhu hoà lạc khâm minh văn tư doãn cung khắc nhượng mục hoàng đế, miếu hiệu huyền tông"
式者充國子監留𭓇,"thức giả, sung quốc tử giám lưu học"
當何如耶必精白承休必始終圖報,"đương hà như da tất tinh bạch thừa hưu,, tất thuỷ chung đồ báo"
𡥵󰍖𦓡蹽蕳儒英箕空𡢼𫨩󱘡𠫾𣈘,con sóc mà leo giàn nho. anh kia không vợ hay mò đi đêm
賖𣾺外准邊陲,xa khơi ngoài chốn biên thùy
城連矇進陛𧏵,thành liền mong tiến bệ rồng
贈太保,tặng thái bảo
娘意𦖑𠅜呐,nàng ấy nghe lời nói
十二月十八日統元帝自洪市行殿進𭛁還京師,"thập nhị nguyệt, thập bát nhật, thống nguyên đế tự hồng thị hành điện tiến phát hoàn kinh sư"
爾天帝欤鬼神欤,nhĩ thiên đế dư? quỷ thần dư?
助遠群臣咸諫于,"trợ viễn, quần thần hàm gián vu"
𥘉制安撫使歷任各路满考則入為天長安撫使又餘考則餘帶審刑院事水得為京師安撫使〇,"sơ chế, an phủ sứ lịch nhiệm các lộ mãn khảo, tắc nhập vi thiên trường an phủ sứ, hựu dư khảo tắc dư đái thẩm hình viện sự, thuỷ đắc vi kinh sư an phủ sứ"
使文奎又将本部兵守潭江渡,sử văn khuê hựu tương bản bộ binh thủ đàm giang độ
𦧘昌𤈜𪜕蹺銅,thịt xương cháy đỏ theo đồng
𥙩𫯳翁老戈吝辰傕,lấy chồng ông lão qua lần thì thôi
置安撫使副屬州置通判,trí an phủ sứ phó thuộc châu trí thông phán
官軍敗還,quan quân bại hoàn
察𠇮体西施怒,xét mình thể tây thi nọ
窮饒奸󱫂𠇍饒𣈜,cùng nhau dan díu bấy nhiêu ngày
伮拯鄧,nó chẳng đặng phá phách người ta
後日燏卒年七十七則周六紀有五年矣,"hậu nhật duật tốt, niên thất thập thất, tắc chu lục kỷ hữu ngũ niên hĩ"
自巳至未未分勝負,tự tị chí mùi vị phân thắng phụ
𨑮翁大圣󰟴天,mời ông ðại thánh tề thiên
冬十月二十一日勑諭太保黎凌,"đông thập nguyệt, nhị thập nhất nhật, sắc dụ thái bảo lê lăng"
身者若一槩議賞則重輕之間無有甄别,"thân giả, nhược nhất khái nghị thưởng, tắc trọng khinh chi gian vô hữu chân biệt"
埃咍冲舘固藏經綸,ai hay trong quán có tàng kinh luân
灵臺瀝,linh đài sạch
𤤰唐宣旨召兵,vua đường tuyên chỉ triệu binh
世情渚惜仍仍台,"thế tình chớ tiếc, dửng dưng thay"
󰅹咍分泊如󱩒世呢,nào hay phận bạc như vôi thế này
拱欺𨖲󰘚樣文紳,cũng khi lên mặt dáng văn thân
霜頭𡶀𣇜朝如澮,sương đầu núi buổi chiều như gội
𠄼時𨑮祸𫨩庒,năm thì mười hoạ hay chăng
隐奇路之城市女,ẩn cả lọ chi thành thị nữa
是歲大饑,thị tuế đại cơ
渚跪啫咵浪𡄰,chớ khoe rằng tốt
没公子貝𠄩翁󰜏𡎦,một công tử với hai ông bà ngồi
𩈘花怒妸潘郎,mặt hoa nọ ả phan lang
公僎頗諳故典及吳俗時有明國使將來帝欲公僎掌應接事故有是命,công soạn pha am cố điển cập ngô tục thời hữu minh quốc sứ tương lai đế dục công soạn chưởng ứng tiếp sự cố hữu thị mệnh
哭傕卞買迻昆朱柴,khóc thôi bèn mới đưa con cho thầy
詔𤼵府錢二萬緡賃工建寺于天德府凡八所皆立碑刻功,"chiếu phát phủ tiền nhị vạn, mân nhậm công kiến tự vu thiên đức phủ, phàm bát sở giai lập bi khắc công"
夏五月誘獲占城主制至以歸封其弟制陀阿󰜏粘為亞候瑱其地,"hạ ngũ nguyệt, dụ hoạch chiêm thành chủ chế chí dĩ quy phong kì đệ chế đà a bà niêm vi á hầu trấn kì địa"
式意思安閒遣譯諭之陳其利害蠻一夜引去遣人謝之曰我自執叛獠耳非為寇也,"thức ý tứ an nhàn, khiển dịch dụ chi, trần kì lợi hại, man nhất dạ dẫn khứ, khiển nhân tạ chi viết ngã tự chấp phản lạo nhĩ, phi vi khấu dã"
亭包饒󰹙傷𨉟閉饒,đình bao nhiêu ngói thương mình bấy nhiêu
侈𦖑軍喝󰠓移,xẩy nghe quân hét vang dời
擬𥪝𧖱𧗅𦛌𫅷,nghĩ trong máu mủ nuột nà
捐呈體枕迻錢蹎它𥒥的𢬣連捽󱬘,"quên trình thẻ, chậm đưa tiền. chân đà đá đít, tay liền tuốt roi"
帝世家豪右天資奇才仕不得志,"đế thế gia hào, hữu thiên tư kì tài, sĩ bất đắc chí"
鐄招痕渃核𪱨䏾𡑝,"vàng gieo ngấn nước, cây lồng bóng sân"
道德盃台免𧁷巾,đạo đức vui thay miễn khó khăn
船出喝門直進至京,"thuyền xuất hát môn, trực tiến chí kinh"
呵拯悶盃共茹󰬨調寤油,há chẳng muốn vui cùng nhà nuôi đều ngủ ru
小侯𠄩矴迻𠄩払,tiểu hầu hai đứa đưa hai chàng
浪英最吏𣌋𠫾,rằng anh tối lại sớm đi
永祚凣十,vĩnh tộ phàm thập
視前代所行之事可爲徵驗,"thị tiền đại sở hành chi sự, khả vi trưng nghiệm"
𤻻𤻳𠫾,mệt luỗi đi
武師鑠頼世卿等併力奮擊出伏兵連勝數陣斬馘百餘級,"vũ sư thước, lại thế khanh đẳng tính lực phấn kích xuất phục binh liên thắng số trận, trảm quắc bách dư cấp"
其夜月又入心度内後暈歳星,"kì dạ, nguyệt hựu nhập tâm độ nội, hậu vựng tuế tinh"
和遣士廉奉表請入朝,hoà khiển sĩ liêm phụng biểu thỉnh nhập triều
𪲽啉咹𠴊容𨱽𠭤恩爫怨包奈業縁,giết lầm ăn lỡ dông dài. trở ân làm oán bao nài nghiệp duyên
渃𣾺󱏹𥛭拯堪吏𨖲𡽫望夫丕,nước khơi buồm lẻ chẳng kham lại lên non vọng phu vậy
昂魯,ngang lỗ
𪽝在娘娲𠺙髀鏁,bởi tại nàng oa thổi bể rào
冬十一月會試天下貢士取合格陳世榮等三十一名〇,"đông thập nhất nguyệt, hội thí thiên hạ cống sĩ, thủ hợp cách trần thế vinh đẳng tam thập nhất danh"
渚易平埃旦買都,chưa dễ bằng ai đắn với đo
角󰜋油些掌大權,dốc một dầu ta chưởng đại quyền
八月節制太尉清國公鄭𭫨欽奉皇上命親提諸軍進發,"bát nguyệt, tiết chế thái uý thanh quốc công trịnh tráng khâm phụng hoàng thượng mệnh, thân đề chư quân tiến phát"
唭客𫳵𦓡春庒𢝙,cười khách sao mà xuân chẳng vui
㨂船待𣷷迍柴媄𨖅,"đóng thuyền đợi bến, đón thầy mẹ sang"
及凝娘買𤋵𠳒󱙹𡢐,ngập ngừng nàng mới giãi lời trước sau
鵒箕𣵰𩵜㐌淶,cốc kia lặn cá đã rời
更𣅘徬彿𣊍𣊍占包𧡊将󱙻󰑼仲翁,canh khuya phảng phất mờ mờ. chiêm bao thấy tướng tên là trọng ông
及憲誠卒杜敬脩奉侍帷幄輔德𡸈無其人而帝耽于逰觀滛于聲色徇貨財興土木以教逸欲于有僚興怨嗟于百姓使李祚消剥以至於亡,"cập hiến thành tốt, đỗ kính tu phụng thị duy ốc phụ đức, khởi vô kì nhân? nhi đế đam vu du quan, dâm vu thanh sắc, tuẫn hoá tài, hưng thổ mộc, dĩ giáo dật dục vu hữu liêu, hưng oán ta vu bách tính, sử lí tộ tiêu bác dĩ chí ư vong"
弹經𣅘𣌋诵制蔑𠇮,đàn kinh khuya sớm tụng chơi một mình
𣦆包兎𣵰鵶斜,trải bao thỏ lặn ác tà
乙丑十六年宋天聖三年,"ất sửu, thập lục niên, tống thiên thánh tam niên"
膊𦝌𦑃𢬣,bích bác bắp cánh tay
冬十二月暴風大雨〇,"đông thập nhị nguyệt, bạo phong đại vũ"
戢香匣粉󰀑㐌嵬𢚸,tráp hương hộp phấn lâu đã nguôi lòng
鍾打買嗃,chuông đánh mới kêu
呐古䔲吔古兀,"nuốt của đắng, nhả của ngọt"
