Codepoint,Character,kDefinition
U+3FE8,㿨,"(same as 皪) small stones, gravel, shingle"
U+3FE9,㿩,"light; bright, white color"
U+3FEA,㿪,skin disease
U+3FEB,㿫,to split tangled hemp
U+3FEC,㿬,"nasal disease, (same as 疤) a scar; a birthmark (same as 巴) to hope; to wish"
U+3FED,㿭,cracks; creases; wrinkles; rumples on the skin; surname; (Cant.) hoarse
U+3FEE,㿮,"green; blue; black, extravasation of blood, to look pale or pallid (of the facial complexion)"
U+3FEF,㿯,wide piece of leather
U+3FF0,㿰,durable and solid leather
U+3FF1,㿱,"dry and decayed, to peel off the skin; to scrape; to pare"
U+3FF2,㿲,"(same as 欹) a fierce dog, an interjection of pleasure -- Bravo! Good! (interchangeable 騎) to sit astride on"
U+3FF4,㿴,wide piece of leather
U+3FF5,㿵,soft leather
U+3FF6,㿶,(same as 幫) the sides of a shoe or gutter
U+3FF7,㿷,"(same as 糙) rough; coarse; inferior unpolished rice, goose flesh"
U+3FF8,㿸,"to cast off the skin; to molt, skin"
U+3FF9,㿹,jutting on the epidermis or the cuticle (of plants); (Cant.) skin peeling off
U+3FFA,㿺,"jutting on the epidermis; swelling, wounded; (Cant.) courageous"
U+3FFB,㿻,"a tray; a plate; a dish, large bowl"
U+3FFC,㿼,"(a non-classical form) a bowl, a small shallow container; a small cup"
U+3FFD,㿽,a small bowl; a small basin
U+3FFE,㿾,vessel; container
U+3FFF,㿿,wine cups
U+4000,䀀,cups; small cups
U+4001,䀁,"a small bowl; a small basin, a kind of vessel to remove (or to strain out) the water"
U+4002,䀂,a big basin
U+4003,䀃,a kind of vessel; a container
U+4004,䀄,(same as 饛) container full of food
U+4005,䀅,vessel; container
U+4006,䀆,(standard form of 盡) to exhaust; to complete; to finish; all; totally
U+4007,䀇,"a pot, an earthen pot; a deep cooking pot"
U+4008,䀈,"a vessel; a container, a kind of animal with red hair looks like hedgehog"
U+4009,䀉,"food containers (bowl; basin, etc.) used in ancient times"
U+400A,䀊,"a kind of water containers (to keep warm in cold days); a mental hot-water bottle, to stir or scratch and make it muddy or turbid"
U+400B,䀋,(same as 鹽) salt
U+400D,䀍,"vessel; container; a box; a chest; a trunk, a small cup"
U+400E,䀎,(same as non-classical form of 眄) to look askance; to ogle
U+400F,䀏,to move one's eyes (same as 眴) to express or indicate with eyes (interchangeable 眩) dizzy; giddy
U+4010,䀐,"to regard; to look up to, to look, to take a glance at"
U+4011,䀑,to gouge out an eye or eyes (a corrupted form)
U+4012,䀒,gloomy; dark; obscure
U+4013,䀓,to turn one's eyes to; big eyes
U+4014,䀔,"to look, to confuse; to dazzle"
U+4015,䀕,"angry glances; to look angrily, eyeballs"
U+4016,䀖,to look up to; to respect
U+4017,䀗,"to look askance at, to dislike, a kind of eye disease (tears all the times), pretty eyes, (same as 瞲) to look at in surprise"
U+4018,䀘,"(a corrupted abbreviated form) to cover the line of vision or sight --the straight line between an object and one's eyes, to look steadily at, to look at impatiently"
U+4019,䀙,"to look at, to examine; to observe; to survey"
U+401A,䀚,to lift up the eyes and look around
U+401B,䀛,"to look far with the eyes half-closed (to narrow the eyes), to look at for a long time, daybreak; dawn, to look not straight forward, to disturb; to dizzy; dark, to look at ferocious"
U+401C,䀜,down; (same as 䀛) to see obscurely
U+401E,䀞,with heavy eyelids
U+401F,䀟,sight blurred; unclear; dim
U+4020,䀠,the timid look of a bird; nervous; surname
U+4021,䀡,"(same as 覘) to spy on; to see; to observe; to inspect, to cast the eyes down, the insight of the debauchee, to move the eyes; to look around"
U+4022,䀢,"(same as 瞬) to glance; to blink; wink; (interchangeable 眴 瞚), to indicate one's wish or intention by expressions of the eyes"
U+4023,䀣,"to look steadily at, ashamed, to look at ferocious"
U+4024,䀤,insight (version) of jealousy
U+4025,䀥,"(simplified form of 䁻) beautiful eyes, to look at just for a short time"
U+4026,䀦,(a dialect) to stare at
U+4027,䀧,sight blurred; obscure and dim; unclear
U+4028,䀨,"to look, an angry look; to look at some one angrily, sight blurred; obscure and dim; unclear"
U+4029,䀩,"to look askance, to look; to see, to hope, big eyes"
U+402A,䀪,"birds flying up and down, to look at; to regard; to inspect"
U+402B,䀫,"narrow and dim eye sight; having one eye smaller than the other, one-eyed, wink of the eyelashes, sleepy; drowsy; dim; vague and hazy"
U+402C,䀬,"to glance; to wink, having one eye smaller than the other, one eyed, gazing into distance, sight blurred; obscure and dim; unclear"
U+402D,䀭,with big eyes
U+402E,䀮,sight blurred; obscure and dim; obscured
U+402F,䀯,to look at; to see; to observe; to examine; to consider
U+4030,䀰,"open eyes, big eyes, to move one's eyes"
U+4031,䀱,to examine; to observe; to survey; to study
U+4032,䀲,diseases in the eyes
U+4033,䀳,"(abbreviated form) not to look straight forward, the pupil of the eyes not in the right place"
U+4034,䀴,"to look straight forward, to look, eyesight blurred; not clear"
U+4035,䀵,"(same as 瞬) to blink; wink or twinkle, by eyes (facial expressions) to indicate one's wish or intention"
U+4036,䀶,"strabismus; squint, to look askance; to ogle, (a dialect) bright; light; brilliant, bright eyes"
U+4037,䀷,to have quick glance; look-in; to look hastily
U+4038,䀸,"(interchangeable 䀿) to have a casual and short glance; to catch a glimpse of, pretty eyes, insight; vision, bright eyes"
U+4039,䀹,"(same as 眨) to wink; (same as 睫) eyelashes, having one eye smaller than the other, joke; witticism; pleasantry; jest; fun; (Cant.) to peep at; to blink, wink"
U+403A,䀺,"squinting eyes; prominent eyes, all blind, eyesight not clear, upper eyelid which has a double fold at the lower edge"
U+403B,䀻,to look; to regard; to inspect
U+403C,䀼,"(non-classical form of 瞋) angry; anger, complaining; grudging, wide open the eyes, depressed; melancholy, to look at, to confuse, confused vision"
U+403D,䀽,to look at each other
U+403E,䀾,"many; much, more than; over"
U+403F,䀿,"(same as 䀸) to have a casual and short glance; to catch a glimpse of, pretty eyes, insight; vision, bright eyes"
U+4041,䁁,"(same as 䀶) strabismus; squint, to look askance; to ogle, (a dialect) bright; light; brilliant, bright eyes"
U+4042,䁂,big eyes
U+4043,䁃,to look attentively; to focus one's look at; to gaze at
U+4044,䁄,"to close the eyes, to die without regret or in peace"
U+4045,䁅,"rage; anger, to cast an angry look; to give the black looks"
U+4046,䁆,"eyes, closed eyes"
U+4047,䁇,"to look for a short time, attentive vision"
U+4048,䁈,"to examine; to survey; to inspect; to visit, to watch or see in secret; to spy; to peep"
U+4049,䁉,"(same as 䁈) to examine; to survey; to inspect; to visit, to watch or see in secret; to spy; to peep"
U+404A,䁊,"dark and deep eyed, to look down, to block, to stuff, to cork; to seal"
U+404B,䁋,"with one eye closed, to close the eyes; (same as 瞸) to look askance at; (Cant.) to close the eyes"
U+404C,䁌,to see for a short time
U+404D,䁍,"blind, hollow-eyed, to look at"
U+404E,䁎,"to make a close inspection, secretion of the eye, (same as 瞠) to look straight at; to stare at"
U+404F,䁏,"farsightedness (as a physical defect); hypermetropia, to look from a distance"
U+4050,䁐,"deep eyed, to look at; to inspect; to see"
U+4051,䁑,"(same as 眻) pretty eyes, the space between eyebrows, (interchangeable 揚) to raise; to praise, to display"
U+4052,䁒,"to wink, to shed tears"
U+4053,䁓,"to look at; to see, to peep; to look something stealthily, angry"
U+4054,䁔,"big eyes (same as 睅) protuberant eyes, goggle-eye"
U+4055,䁕,"(same as 盿) to look at; to see, to look down; to look from above"
U+4056,䁖,to see; to look at; to observe
U+4057,䁗,"light; bright; brilliant, clear, to shine upon; to light or illumine"
U+4058,䁘,"to look at; to see, pretty eyes; (same as 䁏) farsightedness (as a physical defect); hypermetropia, to look from a distance"
U+4059,䁙,"eloquent eyes; to converse with eyes; to make sheep eyes or passes, to look at; to see, to look up to; to respect"
U+405A,䁚,"a kind of eye disease, (a non-classical form)"
U+405B,䁛,to look; to see; to inspect
U+405C,䁜,"big eyes, a kind of eye disease"
U+405D,䁝,deluding and causing disorder (interchangeable 熒) lights shining; sparkling; twinkling; shimmering
U+405E,䁞,"(same as ancient form of 省) a province, to examine; to watch, to reduce, to diminish"
U+405F,䁟,"(interchangeable 差) wrong; mistaken; erroneous, disorderly; untidy; irregular"
U+4060,䁠,to hang down (eyes)
U+4062,䁢,(same as 嫙) exquisite; fine
U+4063,䁣,to wink
U+4064,䁤,"moistened eyes, to stare in anger or contempt"
U+4065,䁥,"to blink; to half-close the eyes, small eyes (same as 昵) very dear; very intimate; very much in love"
U+4066,䁦,"(same as 覷) to see; to look at, to steal a glance; to glance quickly, to spy on; to peep at"
U+4067,䁧,to open wide (eyes)
U+4068,䁨,"to open the eyes with astonishment, (interchangeable 矐) to lose one's eyesight; to become blind; blind"
U+4069,䁩,"(same as 魚) fish, inferior horse with blind eyes"
U+406A,䁪,to wink
U+406B,䁫,"muddy; dirty, eyesight obscured"
U+406C,䁬,"to act pretentiously (by slit-eyed), eyesight obscured"
U+406D,䁭,"to give an angry look, to watch; to view"
U+406E,䁮,"sad; mournful; grieved, to worry about, to think with one's eyes closed, to close the eyes"
U+406F,䁯,"to look at; to see; to inspect; (same as 瞸) gazing into distance, having one eye smaller than the other, to look askance at; (Cant.) to close the eyes"
U+4070,䁰,to look in an evil or wicked way; wicked vision
U+4071,䁱,(same as 眗) hollow-eyed
U+4072,䁲,to peep; to look at something stealthily; (Cant.) to close the eyes
U+4073,䁳,to lose one eye
U+4074,䁴,"keep on looking, change the facial expression"
U+4075,䁵,"newborn baby with the eyelids closed, big eyes, to close the eyes"
U+4076,䁶,"to look at something without winking, bright"
U+4077,䁷,"bright eyes, angry look; angry eyes (ancient form of 覺) to awaken, to wake up from sleep, to feel"
U+4078,䁸,"eyesight obscured, angry glances"
U+4079,䁹,(same as 睥) to look askance; an expression of disdain or despise
U+407A,䁺,"to look at; to see; to inspect, sharp, bright-colored; bright eyes, (same as non-classical form of 睪) spy on, to lead on"
U+407B,䁻,"pretty eyes, to have a casual and short glance"
U+407C,䁼,"(literally) to look but see nothing -- absent-minded, to regard as nothing"
U+407D,䁽,"eyesight obscured, abnormal vision; (Cant.) to glance at, sweep the eyes over"
U+407E,䁾,"red and swelling of the eye socket, dim-sighted; poor visioned"
U+407F,䁿,"sleepy; drowsy, to startle; to surprise; to amaze"
U+4080,䂀,to wink
U+4081,䂁,"an angry look; to look at someone angrily, hollow-eyed"
U+4082,䂂,"to gaze at in terror, a surname"
U+4083,䂃,"dark; dim; eyesight obscured, angry look; angry eyes"
U+4084,䂄,to startle; to surprise; to amaze; to look at in surprise
U+4085,䂅,"to have insight or vision of a simple and honest person, silly"
U+4086,䂆,weapons; arms (a lance; a spear)
U+4087,䂇,"to pierce; to stab; to irritate; to hurt, a thorn"
U+4088,䂈,"to pierce; to stab; to irritate; to hurt, a thorn, a lance; a spear"
U+4089,䂉,weapons; arms (a lance; a spear)
U+408A,䂊,weapons; arms (a lance; a spear)
U+408C,䂌,a short weapon (daggers; swords; knives)
U+408D,䂍,a kind of weapon carried by the honor guard before the Emperor in ancient times
U+408E,䂎,"a short spear; a lance with two points, a halberd, to pierce; to stab; to irritate, to catch a spear from away"
U+408F,䂏,"short, dog with short tail"
U+4090,䂐,short (ancient form of 拙) stupid; crude; poor; slow and clumsy
U+4091,䂑,short; (Cant.) intensifier
U+4092,䂒,short (dialect) to curry favor; to toady; to flatter; to try hard to please
U+4093,䂓,"(standard form of 規) regulations; laws; rules; customs or usages, a pair of compasses"
U+4094,䂔,short
U+4095,䂕,short
U+4096,䂖,"(same as 石) rocks; stones; minerals, etc."
U+4097,䂗,to be careful; to exercise caution; to take care; to pay attention
U+4098,䂘,pebble; small piece of stone
U+409A,䂚,"a kind of stone, rugged rocks, difficult; hard; difficulty; hardship"
U+409B,䂛,a kind of rock
U+409C,䂜,rocky (same as 玤) fine stone which is little less valuable than jade (interchangeable 崩) to collapse; to fall
U+409D,䂝,"(same as 矺) to rap; to tap; to beat(same as 磔) torture of dismemberment used in the ancient times, sound of throwing something to the ground"
U+409E,䂞,"(same as 柘) a thorny tree about 15 feet high, the leaves are used for feeding silkworms before the mulberry leaves are ready or when they are scarce, bark contains a yellow dye (interchangeable 蔗) the sugar cane"
U+409F,䂟,"rocks; stones; minerals, etc."
U+40A0,䂠,"sound of falling rocks, the arrowhead made of stone"
U+40A1,䂡,"(non-classical form 砥) a whetstone, smooth, to polish"
U+40A2,䂢,"sound of falling rocks, fallen rocks"
U+40A3,䂣,a kind of mineral
U+40A4,䂤,white stone
U+40A5,䂥,(same as 賨) a fine stone resembling jade
U+40A6,䂦,"tired; exhausted, rugged stone, coarse whetstone, to pile up rocks on the river-bank"
U+40A7,䂧,rocks clustered pile up together
U+40A9,䂩,(same as 硯) an in-slab or ink-stone (same as 硜) sound of pebbles or stones rubbing or knocking together
U+40AA,䂪,"(same as 磽) hard barren land, a kind of stone (interchangeable 銚) a small pot with a handle"
U+40AB,䂫,"noise of stones rolling down, to ram the earth for foundations, (same as 夯) to raise with force; a heavy load; burden, to fill cracks and leakages with earth (in levee construction)"
U+40AC,䂬,big rocks on the riverside (interchangeable 栱) an arched opening
U+40AD,䂭,name of a place; today's Jizhou
U+40AE,䂮,"stone, to sharpen a knife, sharp-pointed; sharp, vigorous; energetic; keen"
U+40AF,䂯,a fine stone resembling jade
U+40B0,䂰,"rocks; stones; minerals, etc."
U+40B1,䂱,to wear out; rubbed out; to die out; to wear away; frayed
U+40B2,䂲,(same as 砝) standard weights used in scales; steelyard weights
U+40B3,䂳,"gravel; macadam; (interchangeable 剉) to damage; to destroy, medicines; orpiment (common monoclinic arsenic sulfide mineral, As2S3)"
U+40B4,䂴,"(same as 研) to rub; to grind; to powder, to go the very source; to study; to investigate; to research; to examine; to search into carefully"
U+40B5,䂵,"(a simplified form of 碽) sound of bumping or striking, arched bridge"
U+40B6,䂶,the Crustacea; a sea-anemone
U+40B7,䂷,"broken; smashed, trivial, irregular, different; varied sizes (of rocks)"
U+40B8,䂸,"to smash or to knock to pieces of the stone, broken"
U+40B9,䂹,sound of the falling pieces of rocks
U+40BA,䂺,rocks; stones (same as 顆) a drop; a grain; a bead
U+40BB,䂻,"to block; to stop up, to cork; to seal; (same as 鋥) to polish; to grind; (Cant.) to push; to burst; to stuff"
U+40BC,䂼,(a kind of) rocks; stones
U+40BD,䂽,(a kind of) rocks; stones
U+40BE,䂾,to polish; to grind; to rub
U+40BF,䂿,"to pound (grain) in order to remove the husk; refine; polished (rice), to tread upon; to step upon a pestle (for husking grain)"
U+40C0,䃀,"millstone; grindstone, to rub; to grind; to polish; to wear, to sharpen (a knife), to train; to harden; to temper"
U+40C1,䃁,uneven or rugged terrains
U+40C2,䃂,"dull sound of the tolling bell, sound of rolling, rolling stone, a farm tool made of stone (a stone roller for hulling grains, etc.)"
U+40C5,䃅,(simplified form 磾) dyestuff (black colored mineral)
U+40C7,䃇,ink (usually red) for imprinting of seals
U+40C8,䃈,mountain rocks(same as 瑎) a black stone resembling jade
U+40C9,䃉,(same as 賨) a stone resembling jade
U+40CA,䃊,to rub; to grind; to polish; to wear
U+40CB,䃋,a fine stone resembling jade
U+40CC,䃌,"rocky mountain, used in naming a place"
U+40CD,䃍,(ancient form of 墜) to fall down; to sink
U+40CE,䃎,a place in Gansu province
U+40CF,䃏,a kind of rock
U+40D1,䃑,(same as standard form 斑) speckles; spots; mottles (same as 磐) a massive rock
U+40D2,䃒,(of land) poor and barren; field which is not arable
U+40D3,䃓,"to punish; to chastise; to penalize, to kill; to execute, pedal (a footboard) of a cart, brick work of a well, strong and durable, solid; firm"
U+40D4,䃔,"sound of falling rocks, loud noise, stone with strange and unique shapes"
